opdb_id,name,opdb_date,opdb_day,ipdb_id,ipdb_month,bucket,retract
GR6DZ-MYejd,Pin-Up,1975-01-04,04,1789,4,A-transposed,yes
GRw8o-Mz2lw,Tiger,1975-01-08,08,2560,8,A-transposed,yes
Gr8zQ-MJd3K,Fairy,1975-01-09,09,815,9,A-transposed,yes
G4yLE-MQKWK,Boogie,1976-01-08,08,352,8,A-transposed,yes
G4Xdq-MLBlD,The 30's,1977-01-04,04,2532,4,A-transposed,yes
G4qz6-MkP9V,Space Race,1977-01-04,04,2257,4,A-transposed,yes
GrE68-MJozw,Cosmic Pinball,1977-01-08,08,3032,8,A-transposed,yes
G4XD3-M5Rlk,Roy Clark 'The' Entertainer,1977-01-09,09,785,9,A-transposed,yes
G4dZZ-MKNzE,Airborne Avenger,1977-01-09,09,33,9,A-transposed,yes
GRVpL-MLqW3,Queen's Castle,1978-01-04,04,3583,4,A-transposed,yes
GRnqe-MDn45,Spectra IV,1978-01-04,04,2273,4,A-transposed,yes
G4XD3-MQk3l,Take Five,1978-01-04,04,2492,4,A-transposed,yes
GrjJL-MDyzl,Big Town,1978-01-04,04,3607,4,A-transposed,yes
GRoWo-MjBxV,Neptune,1978-01-04,04,1662,4,A-transposed,yes
Gr1k2-MD0Ve,Crazy Race,1978-01-08,08,587,8,A-transposed,yes
GRWd2-MQ4Ye,Lectronamo,1978-01-08,08,1429,8,A-transposed,yes
GRoWo-MDzOZ,Hit the Deck,1978-01-08,08,1201,8,A-transposed,yes
GR6pk-MDX16,Fabulous 50's,1978-01-08,08,805,8,A-transposed,yes
GRzKW-MQ6er,Last Lap,1978-01-09,09,3207,9,A-transposed,yes
GrdzE-MQ2E6,Space Riders,1978-01-09,09,2258,9,A-transposed,yes
GRpyl-MJNBo,Strike,1978-01-09,09,3363,9,A-transposed,yes
G4Elx-MP3R1,Chance,1978-01-09,09,491,9,A-transposed,yes
G4lnB-MeP1y,Rotation VIII,1978-01-09,09,2019,9,A-transposed,yes
GRoW6-MQk81,Family Fun!,1979-01-04,04,817,4,A-transposed,yes
G41oq-MQVR1,Shooting the Rapids,1979-01-04,04,3606,4,A-transposed,yes
GRoW6-ME0Ro,Star Trip,1979-01-04,04,3605,4,A-transposed,yes
GrEXp-MJjn3,Vegas,1979-01-08,08,2725,8,A-transposed,yes
G4d9B-MJk65,Cosmic Princess,1979-01-08,08,3967,8,A-transposed,yes
G4eyp-MJ7XY,Magic,1979-01-08,08,1509,8,A-transposed,yes
G5b38-MDqkx,Meteor,1979-01-09,09,1580,9,A-transposed,yes
GrOY9-Mq14V,Hot Wheels,1979-01-09,09,3164,9,A-transposed,yes
G5Kl7-M1rzV,Space City,1979-01-09,09,3267,9,A-transposed,yes
GrleW-ME0op,Wild Schutz,1980-01-03,03,4017,3,A-transposed,yes
GrZY2-ML0Rb,Star Gazer,1980-01-08,08,2346,8,A-transposed,yes
GRYPN-Mz2RE,Counterforce,1980-01-08,08,575,8,A-transposed,yes
G4jyz-MDyYE,Space Shuttle,1980-01-09,09,3263,9,A-transposed,yes
G5nQQ-MLbbp,Algar,1980-01-09,09,42,9,A-transposed,yes
GR96Q-MNEnx,Earth Wind Fire,1981-01-04,04,3611,4,A-transposed,yes
GRLbz-MDnxo,Split Second,1981-01-08,08,2297,8,A-transposed,yes
GRo7K-MQ4e3,Barracora,1981-01-09,09,177,9,A-transposed,yes
G4d7B-MJVlK,Locomotion,1981-01-09,09,3217,9,A-transposed,yes
GrEzp-MDbW3,Volcano,1981-01-09,09,2742,9,A-transposed,yes
GRD2P-MQknK,Magic Picture Pin,1982-01-04,04,3450,4,A-transposed,yes
GRbl7-ML8EY,Speakeasy,1982-01-08,08,2270,8,A-transposed,yes
GR0VJ-MDnEy,Soccer Kings,1982-01-09,09,2235,9,A-transposed,yes
G5Lvz-MQkvB,Varkon,1982-01-09,09,2721,9,A-transposed,yes
GrJvk-MDekx,Rocky,1982-01-09,09,1993,9,A-transposed,yes
GR768-MLErr,Caveman,1982-01-09,09,475,9,A-transposed,yes
G4den-MLRYK,Joust,1983-01-04,04,1316,4,A-transposed,yes
GRnoY-MQVwx,Time Machine,1983-01-04,04,3494,4,A-transposed,yes
GrPdq-M9RRe,Pinball Champ,1983-01-04,04,1793,4,A-transposed,yes
GRWYk-Mb5OV,Firepower II,1983-01-08,08,857,8,A-transposed,yes
