page,heading,city_line,updated_line,catalog_candidates,review
ad,AD,,ultimo aggiornamento: marzo 2021,,no catalog match
ami,A.M.I. spa – Apparecchi Musicali Italiani (Microtecnica),"(Torino, Italy – Sig. Luigi Lazzaroni)",ultimo aggiornamento: marzo 2021,ami ami-spa,
apple-time,Apple Time srl,,ultimo aggiornamento: marzo 2021,apple-time,
artigiana-ricambi,Artigiana Ricambi,(Sesto Fiorentino -FI),,ditta-artigiana-ricambi,
bell-games,BELL GAMES – BELL COIN MATICS – NUOVA BELL GAMES,"(Bologna, Italy – Sig. Cavazza)",,bell-coin-matics bell-games nuova-bell-games,
bem,BEM srl,"(Sig. Giorgio Masiero – Milano, Italy)",ultimo aggiornamento: marzo 2021,bem bigliardini-elettronici-milano,ipdb-inferred-ce
bensa,Bensa srl,"(Milano, Italy)",,bensa-sas,
bontempi,Bontempi,"(Roma, Italy)",,,no catalog match
cea,C.E.A. snc – Costruzioni Elettroniche Automatiche di Pavone & c.,"(Bologna, Italy)(Sig. Dante Pavone)",,cea costruzioni-elettroniche-automatiche,
ceff,CEFF Costruzioni Meccaniche,"(Piacenza, Italy)",,,no catalog match
centralmatic-lombarda,Centralmatic Lombarda,"(Milano, Italy)",,centralmatic-lombarda,
dalla-pria-abm,Dalla Pria/ABM Electronics srl,(Piove di Sacco – PD),,,no catalog match
dama,DAMA,(Milano),,dama-srl nordamatic,
eagle,Eagle,"(Milano, Italy)",,eagle eagle-sheet-metal-manufacturing-co lone-eagle-manufacturing-company,
egs,EGS,(???),,e-g-s,
elbos,ELBOS srl,(1981-????),,elbos elbos-electronics,
elettronolo,Elettronolo/Elettrocoin/Elettrogiochi (Firenze),(Sesto Fiorentino -FI),,elettrocoin,
emmepi,Emmepi,(??),,emmepi,
europlay,EUROPLAY/NEW EUROPLAY,(Quarto Inferiore -Bo),,europlay,
ferna,Ferna srl,(???),,,no catalog match
g_braun,G.Braun,(???),,,no catalog match
gl,GL (Sig. Giuliano Lodola),"(Avenza, Massa Carrara)",,giuliano-lodola,
idi,IDI,(Alessandria),,idi,
ipdb-flipper-kit-italiani-non-identificati,costruttori non identificati con certezza,,ultimo aggiornamento: marzo 2020,,no catalog match
ipdb-flipper-kit-italiani-non-identificati/ai-lo,AI-LO,,ultimo aggiornamento: marzo 2021,,no catalog match
italiana-biliardi,Italiana Biliardi,(??-Sig. G.Onorato),,,no catalog match
lori,LORI,"(Budrio, Bologna, Italy – Sig. Lorenzo Rimondini)",,lori,
mambelli,Mambelli,"(Cesena, Italy)",,l-v-mambelli mambelli,
manilamatic,Manilamatic,"(Roma, Italy – Sig. Antonio Manili)",,manilamatic mm-computer-games,ipdb-inferred-ce
md,MD,"(Milano ?, Italy)",,md,
model-racing,MODEL RACING,"(Montemarciano, Ancona, Italy)",,model-racing,
mondial-matic,Mondial Matic,"(Firenze, Italy)",,mondialmatic,
mrgame,Mr.Game,"(Calderara di Reno, Bologna, Italy – Sig. Alfredo Cazzola)",,mr-game,
nordamatic,NORDAMATIC,"(Verona, Italy)",,dama-srl nordamatic,
pasini,Pasini,"(Bologna, Italy)",,pasini,
pc,P.C.,(??),,,no catalog match
pinball-shop,Pinball Shop,"(Pianoro, Bologna, Italy – Sig. Baldazzi)",,pinball-shop,
playmec,PLAYMEC,"(San Lazzaro, Bologna, Italy – Sig. Pino Dal Bagno)",,playmec,
riflip,RIFLIP – Organizzazione Costa,"(Torino, Italy)",,,no catalog match
ripepi,Ripepi SpA,"(Messina, Italy)",,ditta-ripepi-spa ripepi,
rmg,RMG,"(Bologna, Italy – Sig. Renato Montanari)",,renato-montanari-giochi rmg,ipdb-inferred-ce
romagnoli,ROMAGNOLI,"(Bologna, Italy)",,romagnoli,
sidam,SIDAM/SIPEM,"(Torino, Italy)",,,no catalog match
skill-game-the-best,GGB – Skill Game – The Best,(San Lazzaro di Savena – BO),,skillgame-dba-renato-montanari-giochi,
tecnoplay,Tecnoplay,"(Tecnoplay,Repubblica di San Marino – Sig. Roberto Renzi)",,tecnoplay,
zaccaria,Zaccaria,"(Calderara di Reno, Bologna, Italy – Sigg. Franco, Marino, Natale Zaccaria)",,zaccaria,
