page,name,name_uncertain,parens,year,year_uncertain,tech,players,prod,notes,raw_line,disposition,catalog_slug,catalog_conf,catalog_maker,catalog_year,ipdb_id,ipdb_conf,ipdb_maker,opdb_id,review
ad,Frogmen,,,,,,,,,Frogmen,new-maker,frogmen,low,dama-srl,1970,4399,med,"Dama S.R.L., of Milan, Italy (1970)",,yes
ad,Spiders,,,,,,,,,Spiders,new-maker,,,,,,,,,
ad,World Star,,,,,,,,,World Star,new-maker,world-star,low,dama-srl,1970,4405,med,"Dama S.R.L., of Milan, Italy (1970)",,yes
ami,Derby,,,1974,range:1974-75,em,1,,(presentato Enada ottobre 1974),Derby – em – 1p (presentato Enada ottobre 1974),exists,derby-2,high,ami-spa,1975,3701,high,"AMI s.p.a., of Italy (1975-1977)",G43O1-MJ51E,
ami,Hot Race,,,1974,range:1974-75,em,4,,,Hot Race – em – 4p,exists,hot-race,high,ami-spa,1975,4377,high,"AMI s.p.a., of Italy (1975-1977)",GRVby-MJpdx,
ami,Hard Race,,,1974,range:1974-75,em,1,,,Hard Race – em – 1p,exists,hard-race,high,ami-spa,1976,6580,high,"AMI s.p.a., of Italy (1975-1977)",,
ami,West Show,,,1976,,em,1,,,West Show – em – 1p,exists,west-show,high,ami-spa,1976,3737,high,"AMI s.p.a., of Italy (1975-1977)",GRbwx-MwNV3,
ami,Big Hunt,,,1976,,em,1,,,Big Hunt – em – 1p,exists,big-hunt,high,ami-spa,1976,3692,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MDXVN,
ami,The Shark,,,1976,,em,1,,,The Shark – em – 1p,exists,the-shark,high,ami-spa,1976,4060,high,"AMI s.p.a., of Italy (1975-1977)",GxvZB-MrRze,
ami,Navajo,,,1976,,em,4,,,Navajo – em – 4p,exists,navajo,high,ami-spa,1976,3716,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MD3kn,
ami,Sprint Girl,,,1976,,em,1,,,Sprint Girl – em – 1p,exists,sprint-girl,high,ami-spa,1976,4378,high,"AMI s.p.a., of Italy (1975-1977)",,
ami,Big Hunt,,,1976,,,,,,Big Hunt,exists,big-hunt,high,ami-spa,1976,3692,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MDXVN,
ami,Derby,,,1976,,,,,,Derby,exists,derby-2,high,ami-spa,1975,3701,high,"AMI s.p.a., of Italy (1975-1977)",G43O1-MJ51E,
ami,Hard Race,,,1976,,,,,,Hard Race,exists,hard-race,high,ami-spa,1976,6580,high,"AMI s.p.a., of Italy (1975-1977)",,
ami,Navajo,,,1976,,,,,,Navajo,exists,navajo,high,ami-spa,1976,3716,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MD3kn,
ami,Sprint Girl,,collezione Giorgio Anselmi,1976,,,,,,Sprint Girl(collezione Giorgio Anselmi),exists,sprint-girl,high,ami-spa,1976,4378,high,"AMI s.p.a., of Italy (1975-1977)",,
ami,The Shark,,,1976,,,,,,The Shark,exists,the-shark,high,ami-spa,1976,4060,high,"AMI s.p.a., of Italy (1975-1977)",GxvZB-MrRze,
