model_slug,field,person_name,person_slug,role,source_label,source_tier,cite_ref,cite_locator,cite_quote
transformers-more-than-meets-the-eye-pro,credit,Elliot Eismin,elliot-eismin,design,Game Design,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Game Design: Elliot Eismin
transformers-more-than-meets-the-eye-pro,credit,Rob Blakeman,rob-blakeman,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Engineering/mechanics: Rob Blakeman
transformers-more-than-meets-the-eye-pro,credit,Elizabeth Gieske,elizabeth-gieske,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Software: Elizabeth Gieske
transformers-more-than-meets-the-eye-pro,credit,Mike Kyzivat,mike-kyzivat,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Mike Kyzivat
transformers-more-than-meets-the-eye-pro,credit,Tom Kyzivat,tom-kyzivat,animation,Animation,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Animation: Tom Kyzivat
transformers-more-than-meets-the-eye-pro,credit,Jerry Thompson,jerry-thompson,sound,Sound,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-pro,in the Design team section,Sound: Jerry Thompson
transformers-more-than-meets-the-eye-premium,credit,Elliot Eismin,elliot-eismin,design,Game Design,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Game Design: Elliot Eismin
transformers-more-than-meets-the-eye-premium,credit,Rob Blakeman,rob-blakeman,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Engineering/mechanics: Rob Blakeman
transformers-more-than-meets-the-eye-premium,credit,Elizabeth Gieske,elizabeth-gieske,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Software: Elizabeth Gieske
transformers-more-than-meets-the-eye-premium,credit,Mike Kyzivat,mike-kyzivat,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Mike Kyzivat
transformers-more-than-meets-the-eye-premium,credit,Tom Kyzivat,tom-kyzivat,animation,Animation,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Animation: Tom Kyzivat
transformers-more-than-meets-the-eye-premium,credit,Jerry Thompson,jerry-thompson,sound,Sound,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-premium,in the Design team section,Sound: Jerry Thompson
transformers-more-than-meets-the-eye-limited-edition,credit,Elliot Eismin,elliot-eismin,design,Game Design,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Game Design: Elliot Eismin
transformers-more-than-meets-the-eye-limited-edition,credit,Rob Blakeman,rob-blakeman,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Engineering/mechanics: Rob Blakeman
transformers-more-than-meets-the-eye-limited-edition,credit,Elizabeth Gieske,elizabeth-gieske,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Software: Elizabeth Gieske
transformers-more-than-meets-the-eye-limited-edition,credit,Mike Kyzivat,mike-kyzivat,software,Software,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Mike Kyzivat
transformers-more-than-meets-the-eye-limited-edition,credit,Tom Kyzivat,tom-kyzivat,animation,Animation,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Animation: Tom Kyzivat
transformers-more-than-meets-the-eye-limited-edition,credit,Jerry Thompson,jerry-thompson,sound,Sound,secondary,https://pinside.com/pinball/machine/transformers-more-than-meets-the-eye-le,in the Design team section,Sound: Jerry Thompson
sonic-the-hedgehog-collectors-edition,credit,Steve Ritchie,steve-ritchie,design,Game Design,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Game Design: Steve Ritchie
sonic-the-hedgehog-collectors-edition,credit,Cam Mastoras,cam-mastoras,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Engineering/mechanics: Cam Mastoras
sonic-the-hedgehog-collectors-edition,credit,Dan Lachcik,dan-lachcik,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Dan Lachcik
sonic-the-hedgehog-collectors-edition,credit,Mike Vega,mike-vega,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Mike Vega
sonic-the-hedgehog-collectors-edition,credit,Myles Emmons,myles-emmons,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Myles Emmons
sonic-the-hedgehog-collectors-edition,credit,Zofia Bil,zofia-bil,mechanics,Engineering/mechanics,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Zofia Bil
sonic-the-hedgehog-collectors-edition,credit,Bill Grupp,bill-grupp,software,Software,secondary,https://pinside.com/pinball/machine/sonic-the-hedgehog-collectors,in the Design team section,Software: Bill Grupp
