corroboration,candidate_name,proposed_slug,maker_name,year,month,pinside_status,kind,franchise_slug,franchise_action,themes,inherited_themes,lineage_kind,lineage_target,pinside_slug,note,title_slug_proposed,corporate_entity_slug,unreleased_lookalike_ack
both,Transformers: More Than Meets the Eye (Pro),transformers-more-than-meets-the-eye-pro,Stern,2026,,In production,model,transformers,existing,"licensed, robots, science-fiction, cartoons, movies","licensed, robots, science-fiction, movies",,,transformers-more-than-meets-the-eye-pro,science-fiction kept: inherited from Stern Transformers 2011. cartoons added for the G1 source,transformers-more-than-meets-the-eye,stern-pinball-incorporated,
both,Transformers: More Than Meets the Eye (Premium),transformers-more-than-meets-the-eye-premium,Stern,2026,,In production,model,transformers,existing,"licensed, robots, science-fiction, cartoons, movies","licensed, robots, science-fiction, movies",,,transformers-more-than-meets-the-eye-premium,,transformers-more-than-meets-the-eye,stern-pinball-incorporated,
both,Transformers: More Than Meets the Eye (Limited Edition),transformers-more-than-meets-the-eye-limited-edition,Stern,2026,,In production,model,transformers,existing,"licensed, robots, science-fiction, cartoons, movies","licensed, robots, science-fiction, movies",,,transformers-more-than-meets-the-eye-le,Pinside names it (LE); catalog convention is (Limited Edition),transformers-more-than-meets-the-eye,stern-pinball-incorporated,
both,Sonic the Hedgehog (Collector's Edition),sonic-the-hedgehog-collectors-edition,Jersey Jack Pinball,2026,,In production,model,sonic-the-hedgehog,create,"licensed, video-games, cartoons",,,,sonic-the-hedgehog-collectors,,sonic-the-hedgehog,jersey-jack-pinball-inc-lakewood-nj,
both,Sonic the Hedgehog (Special Edition),sonic-the-hedgehog-special-edition,Jersey Jack Pinball,2026,,In production,model,sonic-the-hedgehog,create,"licensed, video-games, cartoons",,,,sonic-the-hedgehog-special,,sonic-the-hedgehog,jersey-jack-pinball-inc-lakewood-nj,
both,Sonic the Hedgehog (Arcade Edition),sonic-the-hedgehog-arcade-edition,Jersey Jack Pinball,2026,,In production,model,sonic-the-hedgehog,create,"licensed, video-games, cartoons",,,,sonic-the-hedgehog-arcade,mirrors the JJP Harry Potter 3-edition split,sonic-the-hedgehog,jersey-jack-pinball-inc-lakewood-nj,
both,Bon Jovi,bon-jovi,Barrels of Fun,2026,,In production,model,bon-jovi,create,"licensed, hard-rock",,,,bof-bon-jovi,"new Title so nothing inherited. music dropped: hard-rock implies it, matching Guns N Roses",bon-jovi,barrels-of-fun,
both,Dungeon Crawler Carl,dungeon-crawler-carl,Multimorphic,2026,,Production planned,model,dungeon-crawler-carl,create,"licensed, literature, fantasy",,,,dungeon-crawler-carl,P3 full game module; LitRPG book series,dungeon-crawler-carl,multimorphic-inc,
both,Ender's Game,enders-game,Multimorphic,2026,,Production planned,model,enders-game,create,"licensed, literature, science-fiction",,,,enders-game,P3 full game module; Orson Scott Card novel,enders-game,multimorphic-inc,
both,Tales of the Arabian Nights (30th Anniversary Remake),tales-of-the-arabian-nights-30th-anniversary-remake,Pedretti Gaming,2026,,Production planned,model,,none,"fantasy, literature, myth-and-legend, mythology","fantasy, myth-and-legend, mythology",remake_of,tales-of-the-arabian-nights,tales-of-the-arabian-nights-remake,399 games. literature added on top of the inherited three,tales-of-the-arabian-nights,pedretti-gaming,
both,Tales of the Arabian Nights (Legacy Edition Remake),tales-of-the-arabian-nights-legacy-edition-remake,Pedretti Gaming,2026,,Production planned,model,,none,"fantasy, literature, myth-and-legend, mythology","fantasy, myth-and-legend, mythology",remake_of,tales-of-the-arabian-nights,tales-of-the-arabian-nights-legacy-edition-remake,literature added; see sibling row,tales-of-the-arabian-nights,pedretti-gaming,
both,The 3 Musketeers,the-3-musketeers,HEXA Pinball,2026,3,Production planned,model,,none,"adventure, fictional-characters, literature",,,,3-musketeers-the,"NOT licensed: hexa-pinball.com says it draws on the Dumas 1844 novel, public domain. No franchise, matching the 3 existing Musketeer Titles. Month from the Pinside archive page",the-3-musketeers,hexa-pinball,
both,The 3 Musketeers (Elegance Edition),the-3-musketeers-elegance-edition,HEXA Pinball,2026,3,Production planned,model,,none,"adventure, fictional-characters, literature",,,,3-musketeers-elegance-edition,200 games,the-3-musketeers,hexa-pinball,
both,Yukon Yeti,yukon-yeti,Turner Pinball,2026,,Production planned,model,,none,"monsters, snow",,unresolved,white-water,yukon-yeti,"Kineticist calls it White Water 2. Different maker (Turner not Williams) so NOT a remake; homage at most. Nothing inherited, so winter-sports dropped as unevidenced",yukon-yeti,turner-pinball,
both,Galactic Tank Force (Victory Edition),galactic-tank-force-victory-edition,American Pinball,2026,,Production planned,variant,,none,"outer-space, science-fiction","outer-space, science-fiction",unresolved,galactic-tank-force-classic,ap-galactic-tank-force-victory-edition,AP original IP so no franchise. Both themes inherited from the 2023 siblings and kept verbatim,galactic-tank-force,american-pinball-inc,
both,Houdini 100th Anniversary,houdini-100th-anniversary,American Pinball,2026,,In production,model,,none,"historical-characters, magic","historical-characters, magic",variant_of,houdini-master-of-mystery,houdini-100th,"New row. NOT the same machine as houdini-master-mystery (IPDB 6469), which is the never-built Popadiuk/Andrews design AP replaced with the 2017 game. Joins the existing houdini Title. wizards dropped from the inherited themes on request.",houdini,american-pinball-inc,houdini-master-mystery
both,Fish Tales: Ultimate Fishing Challenge (Kit),fish-tales-ultimate-fishing-challenge-kit,Cardona Pinball Designs,2026,,In production,kit,,none,"fishing, sports","fishing, sports",kit_of,fish-tales,fish-tales-ultimate-fishing-challenge,"conversion kit for Williams 1992 Fish Tales, which IS in the catalog. Both themes inherited from it and kept verbatim",fish-tales-ultimate-fishing-challenge,cardona-pinball-designs,
both,The Fiery End of Obsidian High,the-fiery-end-of-obsidian-high,UP Pinball,2026,,Production planned,homebrew,,none,,,,,fiery-end-of-obsidian-high-the,"1 game; themes need research, title gives no usable signal",the-fiery-end-of-obsidian-high,up-pinball,
kineticist,Cirqus Voltaire (Remake),cirqus-voltaire-remake,American Pinball,2026,,,model,,none,"carnivals, circus","carnivals, circus",remake_of,cirqus-voltaire,,confirmed 3.21.26; Kineticist misspells as Circus. Themes inherited from Bally 1997,cirqus-voltaire,american-pinball-inc,
kineticist,Resident Evil,resident-evil,World Pinball,2026,,,model,resident-evil,create,"licensed, horror, video-games",,,,,confirmed 12.18.25,resident-evil,world-pinball,
kineticist,Monster League Hockey,monster-league-hockey,Ramp's Pinball,,,,model,,none,"monsters, hockey",,,,,themes read straight off the title,monster-league-hockey,ramps-pinball,
