|                      model_slug                      |         field_name         | n  |
+------------------------------------------------------+----------------------------+----+
| barnyard                                             | abbreviation               | 1  |
| barnyard                                             | corporate_entity           | 1  |
| barnyard                                             | credit                     | 6  |
| barnyard                                             | display_type               | 2  |
| barnyard                                             | ipdb.corporate_entity_name | 1  |
| barnyard                                             | ipdb.image_urls            | 1  |
| barnyard                                             | ipdb.notes                 | 1  |
| barnyard                                             | ipdb_id                    | 2  |
| barnyard                                             | month                      | 3  |
| barnyard                                             | name                       | 2  |
| barnyard                                             | opdb.images                | 1  |
| barnyard                                             | opdb_id                    | 2  |
| barnyard                                             | player_count               | 3  |
| barnyard                                             | slug                       | 1  |
| barnyard                                             | technology_generation      | 3  |
| barnyard                                             | theme                      | 2  |
| barnyard                                             | title                      | 1  |
| barnyard                                             | year                       | 3  |
| cannon-lagoon                                        | abbreviation               | 2  |
| cannon-lagoon                                        | corporate_entity           | 1  |
| cannon-lagoon                                        | credit                     | 16 |
| cannon-lagoon                                        | display_type               | 2  |
| cannon-lagoon                                        | ipdb.corporate_entity_name | 1  |
| cannon-lagoon                                        | ipdb.image_urls            | 1  |
| cannon-lagoon                                        | ipdb.notable_features      | 1  |
| cannon-lagoon                                        | ipdb.notes                 | 1  |
| cannon-lagoon                                        | ipdb_id                    | 2  |
| cannon-lagoon                                        | month                      | 3  |
| cannon-lagoon                                        | name                       | 2  |
| cannon-lagoon                                        | opdb.images                | 1  |
| cannon-lagoon                                        | opdb_id                    | 2  |
| cannon-lagoon                                        | player_count               | 3  |
| cannon-lagoon                                        | slug                       | 1  |
| cannon-lagoon                                        | technology_generation      | 3  |
| cannon-lagoon                                        | theme                      | 4  |
| cannon-lagoon                                        | title                      | 1  |
| cannon-lagoon                                        | year                       | 3  |
| cosmic-cart-racing                                   | abbreviation               | 2  |
| cosmic-cart-racing                                   | corporate_entity           | 1  |
| cosmic-cart-racing                                   | credit                     | 16 |
| cosmic-cart-racing                                   | display_type               | 2  |
| cosmic-cart-racing                                   | gameplay_feature           | 3  |
| cosmic-cart-racing                                   | ipdb.corporate_entity_name | 1  |
| cosmic-cart-racing                                   | ipdb.image_urls            | 1  |
| cosmic-cart-racing                                   | ipdb.notable_features      | 1  |
| cosmic-cart-racing                                   | ipdb.notes                 | 1  |
| cosmic-cart-racing                                   | ipdb_id                    | 2  |
| cosmic-cart-racing                                   | month                      | 3  |
| cosmic-cart-racing                                   | name                       | 2  |
| cosmic-cart-racing                                   | opdb.images                | 1  |
| cosmic-cart-racing                                   | opdb_id                    | 2  |
| cosmic-cart-racing                                   | player_count               | 3  |
| cosmic-cart-racing                                   | slug                       | 1  |
| cosmic-cart-racing                                   | technology_generation      | 3  |
| cosmic-cart-racing                                   | theme                      | 6  |
| cosmic-cart-racing                                   | title                      | 1  |
| cosmic-cart-racing                                   | year                       | 3  |
| dungeon-crawler-carl                                 | corporate_entity           | 1  |
| dungeon-crawler-carl                                 | name                       | 1  |
| dungeon-crawler-carl                                 | slug                       | 1  |
| dungeon-crawler-carl                                 | status                     | 1  |
| dungeon-crawler-carl                                 | theme                      | 3  |
| dungeon-crawler-carl                                 | title                      | 1  |
| dungeon-crawler-carl                                 | year                       | 1  |
| enders-game                                          | corporate_entity           | 1  |
| enders-game                                          | name                       | 1  |
| enders-game                                          | slug                       | 1  |
| enders-game                                          | status                     | 1  |
| enders-game                                          | theme                      | 3  |
| enders-game                                          | title                      | 1  |
| enders-game                                          | year                       | 1  |
