manufacturer_slug,ipdb_prefixes,ipdb_docs,note
williams,Williams,1069,
bally,Bally,983,
stern-pinball,Stern,692,"Modern Stern Pinball (1999-); the 692 spans both Stern eras and splits when documents are seeded"
stern-electronics,Stern,692,"Stern Electronics (1977-1985); shares the Stern filename prefix with the modern company"
zaccaria,Zaccaria,118,
data-east,Data_East,109,
chicago-coin,Chicago_Coin,88,
playmatic,Playmatic,62,
sega,Sega,62,"Prefix spans 1970s Sega (Japan) and 1990s Sega Pinball; the catalog holds both eras as one manufacturer"
game-plan,Game_Plan,56,
atari,Atari;Atari_Inc,48,"Two prefixes, one publisher"
taito-do-brasil,Taito_Brazil,31,
genco,Genco,30,
recel,Recel,30,
allied-leisure,Allied_Leisure,28,
capcom,Capcom,28,
inder,INDER,27,
midway,Midway,26,
keeney,Keeney,24,
sonic,Sonic,19,
mac-sa,MAC_S_A,18,
united,United,18,
hankin,Hankin,17,
alvin-g,Alvin_G,15,
briarwood,Briarwood,13,
o-d-jennings-and-company,O_D_Jennings,12,
esco,ESCO,11,
pamco,PAMCO,11,
rally,Rally,11,
nsm,Lowen;NSM,11,"Löwen-Automaten / NSM; the prefixed games (Cosmic Flash 1985, Hot Fire Birds, The Games 1985) are nsm in the catalog"
rock-ola-manufacturing-corporation,Rock_ola,8,
bell-games,Bell;Nuova;Nuova_Bell,6,"Bell Games / Nuova Bell Games; the prefixed games (Cosmic Flash 1984, Saturn 2, Space Hawks, F1 Grand Prix, U-Boat 65) are all bell-games in the catalog"
fascination-int-incorporated,Fascination,6,
brunswick,Brunswick,6,
segasa,Segasa,5,
weche,WeChe,5,
jersey-jack,Jersey_Jack,5,"Undercounted: JJP manuals mostly use year-first filenames the prefix regex misses"
sleic,SLEIC,5,
interflip,Interflip,4,
tecnoplay,Tecnoplay,4,
maresa,Maresa,4,
petaco,Petaco_S_A,4,
juegos-populares,Juegos;Juegos_Populares,4,
spinball,Spinball,3,
wico,Wico,3,
nasco,Nasco,2,
idsa,IDSA,2,
hanaho-games-inc,HanaHo,2,
astro-games,Astro_Games,2,
peyper,Peyper,2,
mr-game,MrGame,2,
sirmo-games-sa,SIRMO,2,
gottlieb,,0,"Zero documents on IPDB (its rights holder enforces copyright); included deliberately so Gottlieb documents acquired elsewhere are citable"
