url	maker_dir	maker	game	number	year	game_type	features_row	features
https://bingo.cdyn.com/machines/bally/acapulco	bally	Bally	Acapulco	669	1961	magic numbers	| Features | - advancing odds/scores - ballyhole - extended/extra time/play - extra balls - in-line scoring - pick-a-play buttons - roll-over buttons - star numbers - super/double/triple/quadruple scores - triple deck advancing odds/scores |	advancing odds/scores|ballyhole|extended/extra time/play|extra balls|in-line scoring|pick-a-play buttons|roll-over buttons|star numbers|super/double/triple/quadruple scores|triple deck advancing odds/scores
https://bingo.cdyn.com/machines/bally/atlantic_city	bally	Bally	Atlantic City	541	1952	three-card	| Features | - extra balls - in-line scoring - spot numbers - super/double/triple/quadruple scores |	extra balls|in-line scoring|spot numbers|super/double/triple/quadruple scores
https://bingo.cdyn.com/machines/bally/bahama_beach	bally	Bally	Bahama Beach	781	1966	mystic lines	| Features | - advancing odds/scores - extended/extra time/play - extra balls - nickel-quarter play - pick-a-play buttons - red letter game - roll-over buttons - section scoring - star numbers - super/double/triple/quadruple scores - triple deck advancing odds/scores |	advancing odds/scores|extended/extra time/play|extra balls|nickel-quarter play|pick-a-play buttons|red letter game|roll-over buttons|section scoring|star numbers|super/double/triple/quadruple scores|triple deck advancing odds/scores
https://bingo.cdyn.com/machines/bally/bali	bally	Bally	Bali	1025	1974	three-card	| Features | - auto-mission coin divider - corners scoring - double or nothing - extended/extra time/play - extra balls - in-line scoring - kumbackey - nickel-quarter play - spot numbers - super line - super/double/triple/quadruple scores |	auto-mission coin divider|corners scoring|double or nothing|extended/extra time/play|extra balls|in-line scoring|kumbackey|nickel-quarter play|spot numbers|super line|super/double/triple/quadruple scores
https://bingo.cdyn.com/machines/bally/ballerina	bally	Bally	Ballerina	628	1959	magic screen	| Features | - advancing odds/scores - blue section scores - colored lines - extended/extra time/play - extra balls - in-line scoring - roll-over buttons - section scoring - super-section - triple deck advancing odds/scores |	advancing odds/scores|blue section scores|colored lines|extended/extra time/play|extra balls|in-line scoring|roll-over buttons|section scoring|super-section|triple deck advancing odds/scores
https://bingo.cdyn.com/machines/bally/bally_beauty	bally	Bally	Bally Beauty	546	1952	three-card	| Features | - advancing odds/scores - corners scoring - extra balls - in-line scoring - roll-over buttons - select-a-spot - spot numbers - super/double/triple/quadruple scores |	advancing odds/scores|corners scoring|extra balls|in-line scoring|roll-over buttons|select-a-spot|spot numbers|super/double/triple/quadruple scores
https://bingo.cdyn.com/machines/bally/barrel_o_fun	bally	Bally	Barrel-O'-Fun	652-A	1960	six-card	| Features | - auto-mission coin divider - in-line scoring - super line |	auto-mission coin divider|in-line scoring|super line
https://bingo.cdyn.com/machines/bally/barrel_o_fun_61	bally	Bally	Barrel-O'-Fun '61	670-A	1961	six-card	| Features | - auto-mission coin divider - colored lines - in-line scoring - super line |	auto-mission coin divider|colored lines|in-line scoring|super line
https://bingo.cdyn.com/machines/bally/barrel_o_fun_62	bally	Bally	Barrel-O'-Fun '62	677-A	1961	six-card	| Features | - auto-mission coin divider - in-line scoring - spot numbers - super line |	auto-mission coin divider|in-line scoring|spot numbers|super line
https://bingo.cdyn.com/machines/bally/beach_beauty	bally	Bally	Beach Beauty	572	1955	one-card	| Features | - advancing odds/scores - corners scoring - extra balls - in-line scoring - select-a-spot - wild pockets |	advancing odds/scores|corners scoring|extra balls|in-line scoring|select-a-spot|wild pockets
https://bingo.cdyn.com/machines/bally/beach_club	bally	Bally	Beach Club	548	1953	one-card	| Features | - advancing odds/scores - corners scoring - extra balls - in-line scoring - roll-over buttons - select-a-spot - spot numbers - super cards |	advancing odds/scores|corners scoring|extra balls|in-line scoring|roll-over buttons|select-a-spot|spot numbers|super cards
