model,field,tilt,catalog,page,raw_line,note,resolution
big-hunt,technology_generation,electromechanical,solid-state,ami,Big Hunt – em – 1p,,
derby-2,year,1974,1975,ami,Derby – em – 1p (presentato Enada ottobre 1974),(presentato Enada ottobre 1974),resolved: catalog year stands - year means MANUFACTURE year; tilt.it dates the trade-show presentation here (user ruling 2026-07-07)
hard-race,year,1974,1976,ami,Hard Race – em – 1p,,
hot-race,year,1974,1975,ami,Hot Race – em – 4p,,
sexy-girl,year,1979,1980,bell-games,Sexy Girl – ss – 4p (co-production Arkon/Ranco/Bell Games),(co-production Arkon/Ranco/Bell Games),
suns-cruise-2,year,1976,1978,bem,Sun’s Cruise – ss (‘testa piccola’) – 1p,(‘testa piccola’) | (stesso piano del “Travel Agency”),
suns-cruise-2,player_count,1,4,bem,Sun’s Cruise – ss (‘testa piccola’) – 1p,(‘testa piccola’) | (stesso piano del “Travel Agency”),
wild-boy,year,1973,1974,bensa,Wild Boy,,
lucky-shot,year,1976,1978,cea,Lucky Shot – ss – 1p (Enada V),(Enada V),resolved: catalog year stands - year means MANUFACTURE year; tilt.it dates the trade-show presentation here (user ruling 2026-07-07)
calcio-italia-2nd-series,year,1966,1967,elettronolo,Calcio Italia (seconda serie con testatina) – em – 2p,(same cabinet graphics as rare Bally’s “Boot-a-Ball”),
casino-3,year,1966,1965,elettronolo,Casino’,,
royal-king,year,1978,1976,europlay,Royal King – em – 1p,,
sinbad-adventures,technology_generation,electromechanical,solid-state,europlay,Sinbad – em – 1p,"(by “New Europlay)(“SiMbad” on the flyer and cabinet, “SiNbad” on the backglass and schematics)",
basket-world-trotter,player_count,1,4,gl,Basket World Trotter (Harlem Globetrotters) – ss – 1p,,
black-rider,year,1980,1981,gl,Black Rider (Black Knight) – ss – 4p,,
ice-mania,year,1978,1985,idi,Ice Mania – SS – 4p,,
sky-warrior,year,1978,1983,idi,Sky Warrior – SS – 4p,,
tiger-woman,year,1978,1982,idi,Tiger Woman – SS – 4p,,
defender,year,1976,1987,manilamatic,Defender (copia del Gottlieb’s “Arena”),,
out-law,year,1976,1986,manilamatic,Out Law (copia del Gottlieb’s “Tag Team”),,
top-sound,year,1976,1988,manilamatic,Top Sound,,
big-dryvers,technology_generation,electromechanical,solid-state,mondial-matic,Big Dryvers (Space Orbit) – em – 1p,,
sisters,technology_generation,electromechanical,solid-state,mondial-matic,Sisters (Royal Pair) – em – 1p,,
el-tigre,year,1976,1977,playmec,El Tigre,,
hi-ball-3,player_count,4,6,tecnoplay,Hi Ball – ss – 4p,,
space-team,player_count,4,6,tecnoplay,Space Team – ss – 4p,,
devil-riders,month,4,1,zaccaria,Devil Riders – ss – 4p – 04/84,,
earth-wind-fire,month,4,1,zaccaria,"Earth, Wind & Fire – ss – 4p – 04/81",,
farfalla,month,9,1,zaccaria,Farfalla – ss – 4p – 09/83,,
future-world,month,10,1,zaccaria,Future World – 4p – ss – 10/78,,
hot-wheels,month,9,1,zaccaria,Hot Wheels – 4p – ss – 09/79,,
locomotion,month,9,1,zaccaria,Locomotion – ss – 4p – 09/81,,
magic-castle,month,9,1,zaccaria,Magic Castle – ss – 4p – 09/84,,
moon-flight,year,1977,1976,zaccaria,Moon Flight – 1p – em,,
pool-champion,month,12,1,zaccaria,Pool Champion – ss – 4p – 12/85,,
queens-castle,month,4,1,zaccaria,Queen Castle – 1p – em – 04/78,,
shooting-the-rapids,month,4,1,zaccaria,Shooting the rapids – 4p – ss – 04/79,,
ski-jump,month,10,1,zaccaria,Ski Jump – 1p – ss – 10/78,,
soccer-kings,month,9,1,zaccaria,Soccer King – ss – 4p – 09/82,,
space-city,month,9,1,zaccaria,Space City – 1p – ss – 09/79,,
space-shuttle,month,9,1,zaccaria,Space Shuttle – ss – 4p – 09/80,,
strike,month,9,1,zaccaria,Strike – 1p – ss – 09/78,,
time-machine-zaccaria,month,4,1,zaccaria,Time Machine – ss – 4p – 04/83,,
universe-3,year,1977,1976,zaccaria,Universe – 4p – em,,
