entity_ref,field,value,ref,quote,note
model.winter-sports,year,1978,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,1978: Winter Sports – 4p – ss – 01/78,tilt.it corroborates the ipdb/opdb year; blocked today because re-assertion applies only when the catalog source holds no claim - banked for the multi-cite pass
model.woods-queen,year,1976,https://www.tilt.it/flipper_pinball/ipdb/zaccaria,1976: Woods Queen – 1p – em,flipcommons-catalog already claims this year so no patch can attach the tilt.it cite today - banked for the multi-cite pass
model.big-hunt,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ami,Big Hunt – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.big-hunt,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,Big Hunt – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.derby-2,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,Derby – em – 1p (presentato Enada ottobre 1974),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.derby-2,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,Derby – em – 1p (presentato Enada ottobre 1974),same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hard-race,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,Hard Race – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hard-race,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,Hard Race – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hot-race,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,Hot Race – em – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.hot-race,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/ami,Hot Race – em – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.navajo,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ami,Navajo – em – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.navajo,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,Navajo – em – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.navajo,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/ami,Navajo – em – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sprint-girl,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ami,Sprint Girl – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.sprint-girl,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,Sprint Girl – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-shark,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ami,The Shark – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-shark,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,The Shark – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.the-shark,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,The Shark – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.west-show,year,1976,https://www.tilt.it/flipper_pinball/ipdb/ami,West Show – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.west-show,technology_generation,electromechanical,https://www.tilt.it/flipper_pinball/ipdb/ami,West Show – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.west-show,player_count,1,https://www.tilt.it/flipper_pinball/ipdb/ami,West Show – em – 1p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.thunder-man,year,1987,https://www.tilt.it/flipper_pinball/ipdb/apple-time,Thunder Man,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cobra,year,1987,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cobra – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cobra,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cobra – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cobra,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cobra – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cosmic-flash-2,year,1984,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cosmic Flash – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cosmic-flash-2,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cosmic Flash – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cosmic-flash-2,player_count,4,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cosmic Flash – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.cosmodrome,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Cosmodrome – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dark-shadow,year,1986,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Dark Shadow – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
model.dark-shadow,technology_generation,solid-state,https://www.tilt.it/flipper_pinball/ipdb/bell-games,Dark Shadow – ss – 4p,same value already claimed by flipcommons-catalog - banked for the attach-evidence pass
