page,name,name_uncertain,parens,year,year_uncertain,tech,players,prod,notes,raw_line,disposition,catalog_slug,catalog_conf,catalog_maker,catalog_year,ipdb_id,ipdb_conf,ipdb_maker,opdb_id,review,verdict,verdict_why,final_catalog_slug,agent_fields,lineage,conflict,quote
ad,Frogmen,,,,,,,,,Frogmen,new-maker,frogmen,low,dama-srl,1970,4399,med,"Dama S.R.L., of Milan, Italy (1970)",,yes,exists,"Catalog frogmen = dama-srl, 1970, ipdb 4399, EM 1p — the same machine tilt.it also lists on its DAMA page as 'Frogmen (Bazaar)'. IPDB 4399: 'Conversion kit for Bally's 1966 'Bazaar'.'",frogmen,,,"tilt.it lists Frogmen under maker AD (photo page, no prose) AND under DAMA; IPDB attributes to Dama S.R.L. Prefer Dama: IPDB agrees with tilt.it's own dama page, the catalog record already exists, and 'AD' is best explained as a backglass logo of unknown meaning (see maker entry). The AD-page Frogmen photo's backglass badge reads 'SUPER GAMES', not AD.",
ad,Spiders,,,,,,,,,Spiders,new-maker,,,,,,,,,,exists,"The tilt.it AD-page photo's backglass reads 'SPIDER' (singular) with subtitle 'BIGLIARDINO ELETTRICO' — matching catalog spider (dama-srl, ipdb 4404, EM). IPDB 4404: 'Conversion kit for Gottlieb's 1966 'Hurdy Gurdy (Italy)'.' tilt.it's dama page separately lists 'Spider (Hurdy Gurdy)'. The plural 'Spiders' appears only as the tilt.it AD-page heading. No IPDB machine titled 'Spiders' exists.",spider,,,"Name discrepancy (Spiders vs Spider) and page attribution (AD vs Dama). Recommend resolving to the existing spider record; if the reviewer judges the AD-page machine distinct, this becomes a create — but the backglass photo argues identity.",
ad,World Star,,,,,,,,,World Star,new-maker,world-star,low,dama-srl,1970,4405,med,"Dama S.R.L., of Milan, Italy (1970)",,yes,exists,"Catalog world-star = dama-srl, 1970, ipdb 4405, EM 1p — same machine tilt.it also lists on its DAMA page as 'World Star (Magic Town)'. The AD-page photos show a Williams playfield, consistent with IPDB: 'Conversion kit for Williams' 1967 'Magic Town'.'",world-star,,,"tilt.it lists under both AD and DAMA; IPDB → Dama, but IPDB 4405's note is the aD-logo smoking gun: ""Of the two backglasses shown here, one has an 'Md' logo while the other has an 'aD' logo (or maybe 'Da'). We do not know the meaning of these logos."" Prefer Dama attribution; record the aD-logo variant as a note.",
ami,Derby,,,1974,range:1974-75,em,1,,(presentato Enada ottobre 1974),Derby – em – 1p (presentato Enada ottobre 1974),exists,derby-2,high,ami-spa,1975,3701,high,"AMI s.p.a., of Italy (1975-1977)",G43O1-MJ51E,,exists,parser high-confidence match,derby-2,,,,
ami,Hot Race,,,1974,range:1974-75,em,4,,,Hot Race – em – 4p,exists,hot-race,high,ami-spa,1975,4377,high,"AMI s.p.a., of Italy (1975-1977)",GRVby-MJpdx,,exists,parser high-confidence match,hot-race,,,,
ami,Hard Race,,,1974,range:1974-75,em,1,,,Hard Race – em – 1p,exists,hard-race,high,ami-spa,1976,6580,high,"AMI s.p.a., of Italy (1975-1977)",,,exists,parser high-confidence match,hard-race,,,,
ami,West Show,,,1976,,em,1,,,West Show – em – 1p,exists,west-show,high,ami-spa,1976,3737,high,"AMI s.p.a., of Italy (1975-1977)",GRbwx-MwNV3,,exists,parser high-confidence match,west-show,,,,
ami,Big Hunt,,,1976,,em,1,,,Big Hunt – em – 1p,exists,big-hunt,high,ami-spa,1976,3692,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MDXVN,,exists,parser high-confidence match,big-hunt,,,,
ami,The Shark,,,1976,,em,1,,,The Shark – em – 1p,exists,the-shark,high,ami-spa,1976,4060,high,"AMI s.p.a., of Italy (1975-1977)",GxvZB-MrRze,,exists,parser high-confidence match,the-shark,,,,
ami,Navajo,,,1976,,em,4,,,Navajo – em – 4p,exists,navajo,high,ami-spa,1976,3716,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MD3kn,,exists,parser high-confidence match,navajo,,,,
ami,Sprint Girl,,,1976,,em,1,,,Sprint Girl – em – 1p,exists,sprint-girl,high,ami-spa,1976,4378,high,"AMI s.p.a., of Italy (1975-1977)",,,exists,parser high-confidence match,sprint-girl,,,,
ami,Big Hunt,,,1976,,,,,,Big Hunt,exists,big-hunt,high,ami-spa,1976,3692,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MDXVN,,exists,parser high-confidence match,big-hunt,,,,
ami,Derby,,,1976,,,,,,Derby,exists,derby-2,high,ami-spa,1975,3701,high,"AMI s.p.a., of Italy (1975-1977)",G43O1-MJ51E,,exists,parser high-confidence match,derby-2,,,,
ami,Hard Race,,,1976,,,,,,Hard Race,exists,hard-race,high,ami-spa,1976,6580,high,"AMI s.p.a., of Italy (1975-1977)",,,exists,parser high-confidence match,hard-race,,,,
ami,Navajo,,,1976,,,,,,Navajo,exists,navajo,high,ami-spa,1976,3716,high,"AMI s.p.a., of Italy (1975-1977)",GrJPo-MD3kn,,exists,parser high-confidence match,navajo,,,,
ami,Sprint Girl,,collezione Giorgio Anselmi,1976,,,,,,Sprint Girl(collezione Giorgio Anselmi),exists,sprint-girl,high,ami-spa,1976,4378,high,"AMI s.p.a., of Italy (1975-1977)",,,exists,parser high-confidence match,sprint-girl,,,,
ami,The Shark,,,1976,,,,,,The Shark,exists,the-shark,high,ami-spa,1976,4060,high,"AMI s.p.a., of Italy (1975-1977)",GxvZB-MrRze,,exists,parser high-confidence match,the-shark,,,,
apple-time,Thunder Man,,,1987,,,,,,Thunder Man,exists,thunder-man,high,apple-time,1987,4666,high,"Apple Time, of Italy",GRoyw-M4ojr,,exists,"Image-caption duplicate of the 'Thunder Man' 1987 line on the same page; spacing variant of catalog 'Thunder Man' (apple-time, 1987, ipdb 4666). Page shows '1987 / Thunder Man' then 'Thunderman (clicca per ingrandire l'immagine)' as the photo caption.",thunder-man,,,,
apple-time,Thunderman,,,1987,,,,,,Thunderman,new-model-existing-maker,,,,,,,,,,exists,"Image-caption duplicate of the 'Thunder Man' 1987 line on the same page; spacing variant of catalog 'Thunder Man' (apple-time, 1987, ipdb 4666). Page shows '1987 / Thunder Man' then 'Thunderman (clicca per ingrandire l'immagine)' as the photo caption.",thunder-man,,,,
artigiana-ricambi,Sandokan,,modifica Card Trix | tiratura prevista: 10 pezzi,1976,,,,,,Sandokan (modifica Card Trix) (tiratura prevista: 10 pezzi),new-model-existing-maker,,,,,,,,,,create,,,"{""name"": ""Sandokan"", ""year"": 1976, ""year_uncertain"": false, ""technology"": ""em"", ""technology_uncertain"": true, ""players"": 1, ""players_uncertain"": true, ""month"": null, ""game_format"": ""pinball"", ""kit"": false, ""lineage"": ""Modification ('modifica') of Gottlieb's 1970 'Card Trix' (ipdb 446); Sandokan TV-hero theme; planned production run of only 10 units ('tiratura prevista: 10 pezzi'). Maker: Ditta Artigiana Ricambi (catalog CE ditta-artigiana-ricambi), Sesto Fiorentino.""}","Modification ('modifica') of Gottlieb's 1970 'Card Trix' (ipdb 446); Sandokan TV-hero theme; planned production run of only 10 units ('tiratura prevista: 10 pezzi'). Maker: Ditta Artigiana Ricambi (catalog CE ditta-artigiana-ricambi), Sesto Fiorentino.",,Sandokan (modifica Card Trix) (tiratura prevista: 10 pezzi)
artigiana-ricambi,Bowlingirl,,,1976,,,,,,Bowlingirl,exists,bowlingirl,high,ditta-artigiana-ricambi,,3978,high,Ditta Artigiana Ricambi,,,exists,parser high-confidence match,bowlingirl,,,,
artigiana-ricambi,Stunt Cars,,modifica Card King,1976,range:1976-77,,,,,Stunt Cars (modifica Card King),new-model-existing-maker,,,,,,,,,,create,,,"{""name"": ""Stunt Cars"", ""year"": 1976, ""year_uncertain"": true, ""year_note"": ""tilt section header '1976-77'"", ""technology"": ""em"", ""technology_uncertain"": true, ""players"": 1, ""players_uncertain"": true, ""month"": null, ""game_format"": ""pinball"", ""kit"": false, ""lineage"": ""Modification ('modifica') of Gottlieb's 1971 'Card King' (ipdb 445). Maker: Ditta Artigiana Ricambi (catalog CE ditta-artigiana-ricambi).""}",Modification ('modifica') of Gottlieb's 1971 'Card King' (ipdb 445). Maker: Ditta Artigiana Ricambi (catalog CE ditta-artigiana-ricambi).,,Stunt Cars (modifica Card King)
bell-games,The King,,,1978,,ss,4,,,The King – ss – 4p,exists,king,high,bell-coin-matics,,3625,high,"Bell Coin Matics, of Bologna, Italy (1978-1980)",,,exists,parser high-confidence match,king,,,,
