page,name,url,supports,quote
bell-games,Pin Ball,https://pinside.com/pinball/machine/pinball-bellgames,"Pinside holds a distinct 'Pinball' (Bell Games, 1983) entry",
bell-games,Pinball Pool,https://pinside.com/pinball/machine/pin-ball-pool,Attribution and year,"Pin Ball Pool is a pinball machine from 1983, manufactured by Bell Games"
bensa,Surf,https://pinside.com/pinball/forum/topic/bensa-italian-pinball,Bensa machines were 1-player Italian copies of contemporary Gottlieb games; Bensa of Milan made or remanufactured machines 1973-1975,Seems like in Italy in the 70s a few different companies started to copy a few of the name brand pinballs. Nearly an exact copy except all the Italy ones were 1 player not two our four player.
bensa,Jack in the box,https://pinside.com/pinball/forum/topic/bensa-italian-pinball,A Bensa 'Jack in the Box' was photographed and discussed; it has drop-down/lay-flat playfield targets,"That ""Jack in the Box"" looks very interesting, with the on the playfield drop down and lay flat targets ( kinda like InterFlip's Dragon) ."
bensa,Jack in the box,https://www.tilt.it/flipper_pinball/ipdb/bensa,"Reader comment on the source page corroborates a surviving example (same-site, so supporting color rather than an independent source)","Buongiorno, ho ritrovato in una vecchia cantina un flipper Bensa tipo Jack in the box ( identico a quello che vedo nella vostra pagina)."
europlay,Big Dryvers,https://pinside.com/pinball/machine/big-dryver,Pinside carries a separate Europlay-attributed Big Dryvers entry (dated 1979),"Big Dryvers is a pinball machine from 1979, manufactured by Europlay."
europlay,Big Dryvers,https://pinside.com/pinball/machine/big-dryver,Pinside carries a separate Europlay-attributed Big Dryvers entry (dated 1979),"Big Dryvers is a pinball machine from 1979, manufactured by Europlay."
ipdb-flipper-kit-italiani-non-identificati,Time Out,,Ripepi Time Out is a Far Out conversion,This is an add-a-ball version of the 4-player Gottlieb's 1974 'Far Out' with similar artwork.
ipdb-flipper-kit-italiani-non-identificati,Hot Bullet,,artist signature dates it 1970,"The artist's signature and year in the lower right corner of the backglass indicates ""Galli 70""."
ipdb-flipper-kit-italiani-non-identificati,Arrow,,"copy of Gottlieb Golden Arrow, maker Ripepi per cardholder",A copy of Gottlieb's 1977 'Golden Arrow' with the backglass image reversed to show the warrior facing left. The manufacturer's name cannot be seen on the backglass or on the visible areas of the playfield but is printed on the cardholder.
ipdb-flipper-kit-italiani-non-identificati,Thrills,,"Gottlieb parts, made in Italy, glass style dates ~1969","This game uses Gottlieb parts and reportedly was made in Italy.

The manufacture date of this game has not yet been identified to us, but the beaded backbox design was used by Gottlieb in 1969."
ipdb-flipper-kit-italiani-non-identificati,Lido,,unknown-maker wedgehead Lido matching an Italian kit profile,"Game has a wedgehead backbox with six score reels. No manufacturer name is apparent on the backglass, which shows patrons in a lounge setting with psychedelic art on the wall, being served by Playboy bunnies."
ipdb-flipper-kit-italiani-non-identificati,Neptune,,modification of Gottlieb's 1978 Neptune by Lodola,"A modification of Gottlieb's 1978 'Neptune'. This game has been seen with two scoring variations: six score reels and seven score reels, instead of Gottlieb's five."
ipdb-flipper-kit-italiani-non-identificati,El Viti,,"kit for Gottlieb Harmony/Troubadour, Spanish bullfighting theme","5-digit score-reel scoring. This is a kit for Gottlieb's 1967 'Harmony' and Gottlieb's 1967 'Troubadour'. On the backglass, the Spanish word ""TOROS"" (""bulls"") replaces the word ""MUSIC""."
ipdb-flipper-kit-italiani-non-identificati,Tex-Op,,version of Gottlieb Ten-Up on Gottlieb parts,"A version of Gottlieb's 1973 'Ten-Up'. Interestingly, the pinball machine was removed from the backglass bowling alley scene. Everything appears to be a reuse of Gottlieb parts except for the playfield and backglass which are not branded Gottlieb."
ipdb-flipper-kit-italiani-non-identificati,Sky Devil’s,,Italian game reusing Gottlieb Sky Dive art,Game is located in Italy. The backglass and the cabinet artwork are the same as Gottlieb's 1974 'Sky Dive' which was an export to Italy.
ipdb-flipper-kit-italiani-non-identificati,The Royal,,copy of Gottlieb Royal Pair located in Italy,A copy of Gottlieb's 1974 'Royal Pair'. The game pictured here was located in Italy.
