maker	game	number	type	year
Bally	Acapulco	669	magic numbers	1961
Bally	Apollo Ball	860	six-card	1969
Bally	Atlantic City	541	three-card	1952
Bally	Bahama Beach	781	mystic lines	1966
Bally	Bali	1025	three-card	1974
Bally	Ballerina	628	magic screen	1959
Bally	Bally Beauty	546	three-card	1952
Bally	Barrel-O'-Fun	652-A	six-card	1960
Bally	Barrel-O'-Fun '61	670-A	six-card	1961
Bally	Barrel-O'-Fun '62	677-A	six-card	1961
Bally	Beach Beauty	572	one-card	1955
Bally	Beach Club	548	one-card	1953
Bally	Beach Time	611	magic squares	1958
Bally	Beauty Beach	762	mystic lines	1965
Bally	Big Show	585	magic squares	1956
Bally	Big Time	563	magic lines	1954
Bally	Big Wheel	822	wheel	1968
Bally	Bikini	674	magic screen	1961
Bally	Blue Chip	1063	six-card	1974
Bally	Bonanza	1085	magic squares	1976
Bally	Bonus 7	909	mystic lines	1970
Bally	Border Beauty	758	mystic lines	1965
Bally	Bounty	737	magic screen	1963
Bally	Bright Lights	533	six-card	1951
Bally	Bright Spot	538	six-card	1952
Bally	Broadway	576	magic squares	1955
Bally	Broadway_51	535	one-card	1951
Bally	Bull Market	1082	six-card	1976
Bally	Can Can	675	magic screen	1961
Bally	Carnival Queen	615	magic screen	1958
Bally	Circus Queen	667	magic screen	1960
Bally	Coney Island	536	three-card	1951
Bally	Continental	1195	six-card	1980
Bally	County Fair	639	magic screen	1959
Bally	Crosswords	575	unknown/other	1955
Bally	Cypress Gardens	608	magic squares	1958
Bally	Dixieland	1171	six-card	1978
Bally	Double Header	582	magic squares	1956
Bally	Double Up	924	mystic lines	1971
Bally	Dude Ranch	552	two-card	1953
Bally	Folies Bergeres	771	mystic lines	1965
Bally	Frolics	544	six-card	1952
Bally	Fun Spot	652	six-card	1960
Bally	Fun Spot '61	670	six-card	1961
Bally	Fun Spot '62	677	six-card	1961
Bally	Fun Spot '63	699	six-card	1962
Bally	Fun Way	634	six-card	1959
Bally	Galaxy	1143	magic lines	1978
Bally	Gay Time	568	magic lines	1955
Bally	Gayety	566	magic lines	1955
Bally	Golden Gate	698	magic screen	1962
Bally	Hawaii	970	mystic lines	1973
Bally	Hi-Fi	559	one-card	1954
Bally	High Flyer	1131	six-card	1977
Bally	Hole In One	912	six-card	1971
Bally	Ice Frolics	554	three-card	1953
Bally	Key West	588	magic squares	1956
Bally	Laguna Beach	648	magic screen	1960
Bally	Lido	680	magic screen	1961
Bally	Lite-A-Line	668	six-card	1961
Bally	London	853	mystic lines	1969
Bally	Lotta Fun	634-A	six-card	1959
Bally	Magic Ring	839	wheel	1968
Bally	Malibu Beach	1169	magic screen	1980
Bally	Miami Beach	571	magic curtain	1955
Bally	Miss America	603	magic lines	1957
Bally	Miss America '75	1036	magic lines	1974
Bally	Miss America Deluxe	1159	magic lines	1978
Bally	Miss America Supreme	1107	magic lines	1976
Bally	Miss Universe	1061	one-card	1975
Bally	Mississippi Showboat	1258	six-card	1981
Bally	Mystic Gate	1017	mystic lines	1975
Bally	Nashville	1153	six-card	1978
Bally	Night Club	577	magic squares	1956
Bally	Orient	805	mystic lines	1967
Bally	Palm Beach	543	one-card	1952
Bally	Palm Springs	553	one-card	1953
Bally	Parade	581	magic squares	1956
Bally	Roller Derby	654	magic screen	1960
Bally	Safari	868	mystic lines	1969
Bally	Sea Island	623	magic screen	1959
Bally	Shoot-A-Line	682	six-card	1962
Bally	Show-Time	590	magic squares	1957
Bally	Silver Sails	707	magic screen	1962
Bally	Spot Lite	539	one-card	1951
Bally	Stock Market	913	six-card	1971
Bally	Sun Valley	592	magic squares	1957
Bally	Super 7	893	mystic lines	1970
Bally	Surf Club	556	one-card	1954
Bally	Tahiti	1163	mystic lines	1979
Bally	Ticker Tape	938	six-card	1972
Bally	Touchdown	659	magic numbers	1960
Bally	Twist	687	magic cards	1962
Bally	Variety	561	magic lines	1954
Bally	Venice	841	mystic lines	1968
Bally	Wall Street	1011	six-card	1974
Bally	Yacht Club	549	overlapping cards	1953
Bally	Zodiac	798	mystic lines	1966
General Automated Amusements	Continental Lucky Seven	unknown	six-card	2001
General Automated Amusements	Double Crown	unknown	two-card	1990
General Automated Amusements	French Cancan	unknown	two-card	1990
General Automated Amusements	Moulan Rouge	unknown	two-card	1990
General Automated Amusements	New Continental	unknown	six-card	1990
General Automated Amusements	New Continental Golden	unknown	six-card	1990
Games INC.	Hi Line	unknown	unknown/other	1954
Helco	New Five	unknown	magic lines	1984
Interflip	Honolulu	unknown	six-card	1985
Keeney	Holiday	unknown	six-card	1951
Keeney	Lite-A-Line	unknown	six-card	1952
Keeney	Rainbow	unknown	six-card	1962
Keeney	Venus	unknown	six-card	1963
Playmatic	Dixie	unknown	six-card	1980
Playmatic	Miss Disco	unknown	six-card	1983
Playmatic	Super Win	unknown	two-card	1980
Recreaticos Franco	Bingo-bombo	unknown	six-card	1990
Show Games	Challenger	unknown	six-card	1990
Show Games	Golden Continental Turbo	unknown	six-card	1985
Show Games	Miss Florida	unknown	magic lines	1990
Show Games	New Florida	unknown	magic lines	1990
Show Games	Play Time	unknown	one-card	1995
Show Games	Texas	unknown	magic lines	1990
Show Games	Transcontinental	unknown	six-card	1990
Show Games	Transcontinental Deluxe	unknown	six-card	1990
Sirmo	Brooklyn	unknown	magic lines	1996
Sirmo	Circus 10	unknown	six-card	1997
Sirmo	Columbia	unknown	six-card	1990
Sirmo	Coney Island	unknown	magic lines	1992
Sirmo	Continental One Ball	unknown	six-card	2000
Sirmo	Dallas	unknown	magic lines	1984
Sirmo	Daytona	unknown	six-card	1990
Sirmo	Domino One Ball	unknown	one-ball	1995
Sirmo	Eldorado	unknown	six-card	2001
Sirmo	Golden Continental Joker	unknown	six-card	1990
Sirmo	Golden Gate	unknown	six-card	1999
Sirmo	Golden Gate 6 Cards	unknown	six-card	2003
Sirmo	Louisiana	unknown	six-card	1984
Sirmo	Louisiana 2001	unknown	six-card	2001
Sirmo	Magic Screen	unknown	six-card	2003
Sirmo	Manhattan	unknown	magic screen	1984
Sirmo	Millenium	unknown	six-card	2001
Sirmo	Miss Americana	unknown	magic lines	1984
Sirmo	Miss Americana Triple Bonus	unknown	magic lines	1984
Sirmo	Mondial	unknown	six-card	1997
Sirmo	Multiplier	unknown	one-ball	1996
Sirmo	New Dixie Bonus	unknown	six-card	1984
Sirmo	New Dixieland 2000	unknown	six-card	1992
Sirmo	New Dixieland 2000 Bonus	unknown	six-card	2001
Sirmo	New Orleans	unknown	six-card	1984
Sirmo	Ole South	unknown	six-card	2001
Sirmo	One Ball	unknown	one-ball	1992
Sirmo	One Ball Conti	unknown	one-ball	1997
Sirmo	Penalty	unknown	one-ball	1997
Sirmo	Star Continental 2000	unknown	six-card	1997
Sirmo	Super Ball	unknown	six-card	2003
Sirmo	Super Dixieland	unknown	six-card	1984
Sirmo	Triple Joker	unknown	one-ball	1997
Sirmo	Up and Down	unknown	one-ball	1995
SPLIN (formerly show games)	Best Ball	unknown	one-ball	1999
SPLIN (formerly show games)	Croce d'oro	unknown	six-card	2000
SPLIN (formerly show games)	Golden Continental Laser	unknown	six-card	1990
SPLIN (formerly show games)	Golden Game	unknown	six-card	2002
SPLIN (formerly show games)	Michigan	unknown	six-card	2001
SPLIN (formerly show games)	Montana	unknown	six-card	2000
SPLIN (formerly show games)	Montana V	unknown	six-card	2003
United	345	unknown	two-card	1951
United	ABC	unknown	three-card	1951
United	Bolero	unknown	three-card	1951
United	Brazil	unknown	one-card	1956
United	Cabana	unknown	one-card	1953
United	Caravan	unknown	roto feature	1956
United	Circus	unknown	three-card	1952
United	Havana	unknown	one-card	1954
United	Hawaii	unknown	one-card	1954
United	Leader	unknown	three-card	1951
United	Manhattan	unknown	two-card	1955
United	Mexico	unknown	one-card	1954
United	Monaco	unknown	one-card	1956
United	Nevada	unknown	one-card	1954
United	Pixies	unknown	one-card	1955
United	Playtime	unknown	magic squares	1957
United	Rio	unknown	one-card	1953
United	Rodeo	unknown	three-card	1953
United	Serenade	unknown	two-card	1956
United	Show Boat	unknown	six-card	1952
United	Singapore	unknown	one-card	1954
United	South Seas	unknown	one-card	1956
United	Stardust	unknown	roto feature	1956
United	Starlet	unknown	roto feature	1955
United	Stars	unknown	three-card	1952
United	Tahiti	unknown	one-card	1953
United	Triple Play	unknown	three-card	1955
United	Tropicana	unknown	one-card	1955
United	Tropics	unknown	one-card	1953
United	Zingo	unknown	three-card	1951
Universal	5 Star	unknown	unknown/other	1951
Williams	Long Beach	75	three-card	1952
Wimi	Blue Diamond	unknown	six-card	1999
Wimi	Euro Continental Star	unknown	six-card	1982
Wimi	Extra Six Cards	unknown	six-card	1982
Wimi	Green Diamond	unknown	six-card	1997
Wimi	Miss Belgium Turbo	unknown	magic lines	1990
Wimi	Miss Bonus	unknown	magic lines	1997
Wimi	Miss Bowling	unknown	magic lines	1990
Wimi	Miss Bowling Golden	unknown	magic lines	1990
Wimi	Miss Bowling Turbo	unknown	magic lines	1990
Wimi	Miss Queen	unknown	magic lines	1997
Wimi	Old Brussels	unknown	six-card	1981
Wimi	President	unknown	six-card	1990
Wimi	Route 66	unknown	six-card	2003
Wimi	Royal One Ball	unknown	one-ball	1997
Wimi	Royal Seven	unknown	six-card	1997
Wimi	Triple Seven	unknown	six-card	2002
